#format table ## [Custom WaveView] saved 14:28:45 Wed Mar 11 2026
TIME ,x_ssad.v(d5) ,x_ssad.v(d4) ,x_ssad.v(d3) ,x_ssad.v(d2) ,x_ssad.v(d1) ,x_ssad.v(d0) 
 8.000E-05 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.013E-08 , 1.345E+00 , 2.013E-08 
 1.300E-04 , 5.236E-08 , 5.236E-08 , 5.236E-08 , 1.345E+00 , 1.345E+00 , 1.345E+00 
 1.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.014E-08 , 2.014E-08 , 1.345E+00 
 2.300E-04 , 5.271E-05 , 5.271E-05 , 5.271E-05 , 1.345E+00 , 1.345E+00 , 5.271E-05 
 2.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.012E-08 , 1.345E+00 , 2.012E-08 
 3.300E-04 , 5.267E-05 , 5.267E-05 , 5.267E-05 , 1.345E+00 , 1.345E+00 , 5.267E-05 
 3.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.011E-08 , 1.345E+00 , 2.011E-08 
 4.300E-04 , 5.264E-05 , 5.264E-05 , 5.264E-05 , 1.345E+00 , 1.345E+00 , 5.264E-05 
 4.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.014E-08 , 1.345E+00 , 2.014E-08 
 5.300E-04 , 5.700E-05 , 5.700E-05 , 5.700E-05 , 1.345E+00 , 5.700E-05 , 1.345E+00 
 5.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.013E-08 , 1.345E+00 , 1.345E+00 
 6.300E-04 , 5.258E-05 , 5.258E-05 , 5.258E-05 , 1.345E+00 , 1.345E+00 , 5.258E-05 
 6.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.014E-08 , 1.345E+00 , 2.014E-08 
 7.300E-04 , 5.694E-05 , 5.694E-05 , 5.694E-05 , 1.345E+00 , 5.694E-05 , 1.345E+00 
 7.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.011E-08 , 1.345E+00 , 1.345E+00 
 8.300E-04 , 5.692E-05 , 5.692E-05 , 5.692E-05 , 1.345E+00 , 5.692E-05 , 1.345E+00 
 8.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.011E-08 , 1.345E+00 , 1.345E+00 
 9.300E-04 , 5.688E-05 , 5.688E-05 , 5.688E-05 , 1.345E+00 , 5.688E-05 , 1.345E+00 
 9.800E-04 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.014E-08 , 1.345E+00 , 1.345E+00 
 1.030E-03 , 5.688E-05 , 5.688E-05 , 5.688E-05 , 1.345E+00 , 5.688E-05 , 1.345E+00 
 1.080E-03 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.013E-08 , 2.013E-08 
 1.130E-03 , 5.684E-05 , 5.684E-05 , 5.684E-05 , 1.345E+00 , 5.684E-05 , 1.345E+00 
 1.180E-03 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.014E-08 , 1.345E+00 , 1.345E+00 
 1.230E-03 , 7.432E-06 , 7.432E-06 , 7.432E-06 , 1.345E+00 , 7.432E-06 , 7.432E-06 
 1.280E-03 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 1.345E+00 , 2.012E-08 , 2.013E-08 
