#format table ## [Custom WaveView] saved 13:29:16 Wed Mar 11 2026
TIME ,x_ssad.v(d5) ,x_ssad.v(d4) ,x_ssad.v(d3) ,x_ssad.v(d2) ,x_ssad.v(d1) ,x_ssad.v(d0) 
 8.000E-05 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 1.347E+00 , 2.011E-08 
 1.300E-04 , 2.194E-08 , 2.194E-08 , 2.194E-08 , 1.347E+00 , 1.347E+00 , 1.347E+00 
 1.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 2.011E-08 , 1.347E+00 
 2.300E-04 , 2.520E-05 , 2.520E-05 , 2.520E-05 , 1.347E+00 , 1.347E+00 , 2.520E-05 
 2.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.008E-08 , 1.347E+00 , 2.009E-08 
 3.300E-04 , 2.520E-05 , 2.520E-05 , 2.520E-05 , 1.347E+00 , 1.347E+00 , 2.520E-05 
 3.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.012E-08 , 1.347E+00 , 2.012E-08 
 4.300E-04 , 2.521E-05 , 2.521E-05 , 2.521E-05 , 1.347E+00 , 1.347E+00 , 2.521E-05 
 4.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.012E-08 , 1.347E+00 , 2.012E-08 
 5.300E-04 , 1.911E-05 , 1.911E-05 , 1.911E-05 , 1.347E+00 , 1.911E-05 , 1.347E+00 
 5.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.017E-08 , 1.347E+00 , 1.347E+00 
 6.300E-04 , 2.520E-05 , 2.520E-05 , 2.520E-05 , 1.347E+00 , 1.347E+00 , 2.520E-05 
 6.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 1.347E+00 , 2.011E-08 
 7.300E-04 , 1.911E-05 , 1.911E-05 , 1.911E-05 , 1.347E+00 , 1.911E-05 , 1.347E+00 
 7.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.010E-08 , 1.347E+00 , 1.347E+00 
 8.300E-04 , 1.914E-05 , 1.914E-05 , 1.914E-05 , 1.347E+00 , 1.914E-05 , 1.347E+00 
 8.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.012E-08 , 1.347E+00 , 1.347E+00 
 9.300E-04 , 1.917E-05 , 1.917E-05 , 1.917E-05 , 1.347E+00 , 1.917E-05 , 1.347E+00 
 9.800E-04 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 1.347E+00 , 1.347E+00 
 1.030E-03 , 1.919E-05 , 1.919E-05 , 1.919E-05 , 1.347E+00 , 1.919E-05 , 1.347E+00 
 1.080E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 2.011E-08 
 1.130E-03 , 1.920E-05 , 1.920E-05 , 1.920E-05 , 1.347E+00 , 1.920E-05 , 1.347E+00 
 1.180E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 1.347E+00 , 1.347E+00 
 1.230E-03 , 1.394E-05 , 1.394E-05 , 1.394E-05 , 1.347E+00 , 1.394E-05 , 1.394E-05 
 1.280E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.009E-08 , 2.009E-08 
 1.330E-03 , 1.393E-05 , 1.393E-05 , 1.393E-05 , 1.347E+00 , 1.393E-05 , 1.393E-05 
 1.380E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.010E-08 , 2.010E-08 
 1.430E-03 , 1.392E-05 , 1.392E-05 , 1.392E-05 , 1.347E+00 , 1.392E-05 , 1.392E-05 
 1.480E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.013E-08 , 2.013E-08 
 1.530E-03 , 1.391E-05 , 1.391E-05 , 1.391E-05 , 1.347E+00 , 1.391E-05 , 1.391E-05 
 1.580E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.010E-08 , 1.347E+00 
 1.630E-03 , 1.390E-05 , 1.390E-05 , 1.390E-05 , 1.347E+00 , 1.390E-05 , 1.390E-05 
 1.680E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 2.011E-08 
 1.730E-03 , 2.531E-05 , 2.531E-05 , 2.531E-05 , 2.531E-05 , 1.347E+00 , 1.347E+00 
 1.780E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.010E-08 , 1.347E+00 
 1.830E-03 , 2.532E-05 , 2.532E-05 , 2.532E-05 , 2.532E-05 , 1.347E+00 , 1.347E+00 
 1.880E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.014E-08 , 2.014E-08 
 1.930E-03 , 1.389E-05 , 1.389E-05 , 1.389E-05 , 1.347E+00 , 1.389E-05 , 1.389E-05 
 1.980E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 1.347E+00 
 2.030E-03 , 2.532E-05 , 2.532E-05 , 2.532E-05 , 2.532E-05 , 1.347E+00 , 1.347E+00 
 2.080E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.010E-08 , 1.347E+00 
 2.130E-03 , 2.532E-05 , 2.532E-05 , 2.532E-05 , 2.532E-05 , 1.347E+00 , 1.347E+00 
 2.180E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 , 1.347E+00 
 2.230E-03 , 2.533E-05 , 2.533E-05 , 2.533E-05 , 2.533E-05 , 1.347E+00 , 1.347E+00 
 2.280E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.013E-08 
 2.330E-03 , 2.533E-05 , 2.533E-05 , 2.533E-05 , 2.533E-05 , 1.347E+00 , 1.347E+00 
 2.380E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.014E-08 , 1.347E+00 
 2.430E-03 , 2.534E-05 , 2.534E-05 , 2.534E-05 , 2.534E-05 , 1.347E+00 , 1.347E+00 
 2.480E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.010E-08 
 2.530E-03 , 1.385E-05 , 1.385E-05 , 1.385E-05 , 1.385E-05 , 1.347E+00 , 1.385E-05 
 2.580E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.011E-08 
 2.630E-03 , 2.535E-05 , 2.535E-05 , 2.535E-05 , 2.535E-05 , 1.347E+00 , 1.347E+00 
 2.680E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.010E-08 
 2.730E-03 , 1.384E-05 , 1.384E-05 , 1.384E-05 , 1.384E-05 , 1.347E+00 , 1.384E-05 
 2.780E-03 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 1.347E+00 , 2.014E-08 
 2.830E-03 , 1.383E-05 , 1.383E-05 , 1.383E-05 , 1.383E-05 , 1.347E+00 , 1.383E-05 
