#format table ## [Custom WaveView] saved 15:00:04 Wed Mar 11 2026
TIME ,x_ssad.v(d5) ,x_ssad.v(d4) ,x_ssad.v(d3) ,x_ssad.v(d2) ,x_ssad.v(d1) ,x_ssad.v(d0) 
 2.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.914E-06 
 2.530E-03 , 5.438E-08 , 5.438E-08 , 5.438E-08 , 5.438E-08 , 1.348E+00 , 5.438E-08 
 2.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.914E-06 
 2.630E-03 , 1.102E-07 , 1.102E-07 , 1.102E-07 , 1.102E-07 , 1.348E+00 , 1.348E+00 
 2.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.914E-06 
 2.730E-03 , 5.439E-08 , 5.439E-08 , 5.439E-08 , 5.439E-08 , 1.348E+00 , 5.438E-08 
 2.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.913E-06 
 2.830E-03 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 1.348E+00 , 5.433E-08 
 2.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.912E-06 
 2.930E-03 , 1.101E-07 , 1.101E-07 , 1.101E-07 , 1.101E-07 , 1.348E+00 , 1.348E+00 
 2.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.912E-06 
 3.030E-03 , 5.437E-08 , 5.437E-08 , 5.437E-08 , 5.437E-08 , 1.348E+00 , 5.437E-08 
 3.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 3.130E-03 , 5.434E-08 , 5.434E-08 , 5.434E-08 , 5.434E-08 , 1.348E+00 , 5.446E-08 
 3.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.911E-06 
 3.230E-03 , 5.437E-08 , 5.437E-08 , 5.437E-08 , 5.437E-08 , 1.348E+00 , 5.437E-08 
 3.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 3.330E-03 , 5.441E-08 , 5.441E-08 , 5.441E-08 , 5.441E-08 , 1.348E+00 , 5.423E-08 
 3.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.909E-06 
 3.430E-03 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 1.348E+00 , 5.439E-08 
 3.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 3.530E-03 , 5.436E-08 , 5.436E-08 , 5.436E-08 , 5.436E-08 , 1.348E+00 , 5.438E-08 
 3.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 3.630E-03 , 5.434E-08 , 5.434E-08 , 5.434E-08 , 5.434E-08 , 1.348E+00 , 5.445E-08 
 3.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.912E-06 
 3.730E-03 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 1.348E+00 
 3.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 3.830E-03 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 1.348E+00 , 5.423E-08 
 3.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.912E-06 
 3.930E-03 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 1.348E+00 , 5.438E-08 
 3.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 4.030E-03 , 5.444E-08 , 5.444E-08 , 5.444E-08 , 5.444E-08 , 5.444E-08 , 1.348E+00 
 4.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 4.130E-03 , 5.433E-08 , 5.433E-08 , 5.433E-08 , 5.433E-08 , 1.348E+00 , 5.445E-08 
 4.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.911E-06 
 4.230E-03 , 5.429E-08 , 5.429E-08 , 5.429E-08 , 5.429E-08 , 5.429E-08 , 1.348E+00 
 4.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 4.330E-03 , 5.409E-08 , 5.409E-08 , 5.409E-08 , 5.409E-08 , 5.410E-08 , 1.348E+00 
 4.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.910E-06 
 4.430E-03 , 5.439E-08 , 5.439E-08 , 5.439E-08 , 5.439E-08 , 1.348E+00 , 5.438E-08 
 4.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 4.530E-03 , 5.443E-08 , 5.443E-08 , 5.443E-08 , 5.443E-08 , 5.443E-08 , 1.348E+00 
